***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:49:9735 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:49:9826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:0225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:0228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:0231 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:50:0234 Rx 1 0x18FEF53D x 8 DE FF FF 20 1D 41 FF FF 
11:48:50:0328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:0727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:0730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:0825 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:1225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:1228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:1328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:1727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:1730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:1826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:2226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:2228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:2327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:2727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:2730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:2733 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:50:2826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:3225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:3228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:3327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:3616 Rx 1 0x1CECFF3D x 8 20 1A 00 04 FF CA FE 00 
11:48:50:3728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:3731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:3826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:4116 Rx 1 0x1CEBFF3D x 8 01 00 FF 98 0D 00 01 9D 
11:48:50:4225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:4228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:4328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:4415 Rx 1 0x18EA003D x 3 0E FD 00 
11:48:50:4617 Rx 1 0x1CEBFF3D x 8 02 0D 00 01 AD 0C 00 01 
11:48:50:4727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:4730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:4733 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
11:48:50:4736 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:50:4826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:5116 Rx 1 0x1CEBFF3D x 8 03 BB 0D 00 01 A0 0D 00 
11:48:50:5226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:5229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:5232 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:50:5328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:5617 Rx 1 0x1CEBFF3D x 8 04 01 A9 0C 00 01 FF FF 
11:48:50:5727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:5730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:5826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:6226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:6229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:6328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:6728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:6731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:6826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:7226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:7229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
